id:ID,label,file_type,category,source_file,labels:LABEL
concept:robotic_digital_twin,Robotic Digital Twin with Physics Simulation and 3DGS,concept,,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,Entity;Concept
concept:sparse_view_nvs,Sparse-View Novel View Synthesis with 3DGS,concept,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Concept
concept_CBF_c2,Control Barrier Function,concept,,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md,Entity;Concept
concept_NBV_c2,Next-Best-View Planning,concept,,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,Entity;Concept
concept_pose_graph_optimization,Pose Graph Optimization,concept,,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md,Entity;Concept
dataset:AIR_Lab_360,AIR Lab 360 RGB-LiDAR Dataset (3 campus sequences),dataset,,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,Entity;Dataset
dataset:Aoralscan3,Aoralscan3 Dental Scan Dataset,dataset,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Dataset
dataset:DSA_15,DSA-15 Clinical Dataset (Digital Subtraction Angiography),dataset,,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,Entity;Dataset
dataset:DSA_28,DSA-28 Clinical Dataset (Digital Subtraction Angiography),dataset,,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,Entity;Dataset
dataset:DTU,DTU Multi-View Stereo Dataset,dataset,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Dataset
dataset:DeepBlue,DeepBlue Tooth Design Dataset,dataset,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Dataset
dataset:FIPS,FIPS Clinical CT Dataset,dataset,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Dataset
dataset:GlossySynthetic,GlossySynthetic Dataset,dataset,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Dataset
dataset:HDTF,HDTF Dataset (High-Definition Talking Face),dataset,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Dataset
dataset:LLFF,"LLFF Dataset (Local Light Field Fusion, sparse-view NVS)",dataset,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Dataset
dataset:MipNeRF360,MipNeRF-360 Dataset,dataset,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Dataset
dataset:RealEstate10K,RealEstate10K Dataset,dataset,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Dataset
dataset:Ref_Real,Ref-Real Dataset for Real-World Reflective Surfaces,dataset,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Dataset
dataset:Shining3D,Shining3D Tooth Design Dataset,dataset,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Dataset
dataset:ShinySynthetic,ShinySynthetic Dataset for Specular Reconstruction,dataset,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Dataset
dataset_7Scenes_c2,7-Scenes Dataset,concept,,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,Entity;Concept
dataset_7_scenes,7-Scenes,concept,,0071_[SLAM]_SING3R-SLAM Submap-based Indoor Monocular Gaussian SLAM with 3D Reconstr.md,Entity;Concept
dataset_EuRoC,EuRoC MAV,concept,,0050_[SLAM]_GI-SLAM Gaussian-Inertial SLAM.md,Entity;Concept
dataset_Gibson_c2,Gibson Dataset,concept,,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md,Entity;Concept
dataset_HM3D,HM3D,concept,,0079_[Robotics]_GaussNav Gaussian Splatting for Visual Navigation.md,Entity;Concept
dataset_MP3D_c2,Matterport3D Dataset,concept,,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,Entity;Concept
dataset_Replica,Replica,concept,,0047_[SLAM]_FGS-SLAM Fourier-based Gaussian Splatting for Real-time SLAM with Sparse and Dense Map.md,Entity;Concept
dataset_Replica_c2,Replica Dataset,concept,,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md,Entity;Concept
dataset_ScanNet,ScanNet,concept,,"0053_[SLAM]_STAMICS Splat, Track And Map with Integrated Consistency and Semantics for Dense RGB-.md",Entity;Concept
dataset_TUM,TUM-RGBD,concept,,0047_[SLAM]_FGS-SLAM Fourier-based Gaussian Splatting for Real-time SLAM with Sparse and Dense Map.md,Entity;Concept
dataset_co3d,CO3D,concept,,0206_[General]_GloSplat Joint Pose-Appearance Optimization for Faster and.md,Entity;Concept
dataset_dtu,DTU,concept,,0139_[Robotics]_SiLVR Scalable Lidar-Visual Radiance Field Reconstruction with Unc.md,Entity;Concept
dataset_euroc,EuRoC,concept,,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md,Entity;Concept
dataset_euroc_mav,EuRoC MAV,concept,,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md,Entity;Concept
dataset_gibson,Gibson,concept,,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md,Entity;Concept
dataset_hm3d,HM3D,concept,,0026_[SLAM]_AG-SLAM Active Gaussian Splatting SLAM.md,Entity;Concept
dataset_kitti,KITTI,concept,,0016_[SLAM]_UDGS-SLAM UniDepth Assisted Gaussian Splatting for Monocular SLAM.md,Entity;Concept
dataset_matterport3d,Matterport3D,concept,,0026_[SLAM]_AG-SLAM Active Gaussian Splatting SLAM.md,Entity;Concept
dataset_mp3d,MP3D,concept,,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,Entity;Concept
dataset_nuscenes,nuScenes,concept,,0163_[SLAM-Supplement]_`arXiv`.md,Entity;Concept
dataset_scannet,ScanNet,concept,,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md",Entity;Concept
dataset_tum_rgbd,TUM-RGBD,concept,,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md,Entity;Concept
he_semantic_slam,Semantic 3DGS SLAM Systems,hyperedge,,0047_[SLAM]_FGS-SLAM Fourier-based Gaussian Splatting for Real-time SLAM with Sparse and Dense Map.md,Entity;Hyperedge
hyperedge:medical_clinical_gs,Medical/Clinical Gaussian Splatting Applications,hyperedge,,,Entity;Hyperedge
hyperedge:physics_aware_gs,Physics-Aware and Simulation-Coupled 3DGS,hyperedge,,,Entity;Hyperedge
hyperedge:sparse_view_feedforward_gs,Sparse-View and Feed-Forward 3DGS Reconstruction,hyperedge,,,Entity;Hyperedge
hyperedge_3dgs_localization,3DGS Visual Localization,hyperedge,,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,Entity;Hyperedge
hyperedge_active_reconstruction,Active 3DGS Scene Reconstruction,hyperedge,,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,Entity;Hyperedge
hyperedge_general,General paper cluster,hyperedge,,deterministic,Entity;Hyperedge
hyperedge_robotics,Robotics paper cluster,hyperedge,,deterministic,Entity;Hyperedge
hyperedge_slam,SLAM paper cluster,hyperedge,,deterministic,Entity;Hyperedge
hyperedge_slam_supplement,SLAM-Supplement paper cluster,hyperedge,,deterministic,Entity;Hyperedge
hyperedge_unknown,Unknown paper cluster,hyperedge,,deterministic,Entity;Hyperedge
method:3DGS,3D Gaussian Splatting (Kerbl et al. 2023),method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:colmap,COLMAP / Structure-from-Motion (SfM) Initialization,method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:cosserat_rod,Discrete Cosserat Rod Model for Deformable Linear Object (DLO) Simulation,method,,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,Entity;Method
method:deformable_3dgs,Deformable 3D Gaussian Splatting,method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:density_guided_perturbation,Density-Guided Perturbation of Low-Density Gaussian Primitives,method,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Method
method:depth_anything,Depth Anything V2/V3 Monocular Depth Estimation,method,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Method
method:erp_cubemap,ERP-to-Cubemap Conversion for Omnidirectional Imagery,method,,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,Entity;Method
method:feed_forward_gs,Feed-Forward Gaussian Splatting (single-pass multi-view),method,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Method
method:fpfh_icp,FPFH + ICP Cross-Modal Point Cloud Alignment,method,,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,Entity;Method
method:graph_diffusion,Graph Diffusion Model for Compositional Layout Generation,method,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Method
method:hierarchical_gs,Hierarchical 3DGS with Coarse-to-Fine Representation,method,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Method
method:hubert,HuBERT Audio Encoder for Speech Features,method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:indiASG,IndiASG: Indirect Anisotropic Spherical Gaussian (33 lobes) for Indirect Specular,method,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Method
method:mip_cubemap,Mip-Cubemap Environment Representation for Direct Specular Reflection,method,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Method
method:multi_fidelity_texture,Multi-Fidelity Texture Learning Module with Confidence-Aware SR Weighting,method,,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,Entity;Method
method:multimodal_importance_sampling,Multimodal-Prior-Guided Importance Sampling (Photometric + Semantic + Geometric),method,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Method
method:next_best_view,Next Best View (NBV) / Active View Selection Planning,method,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Method
method:pbd,Position-Based Dynamics (PBD) for Rigid Body Simulation,method,,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,Entity;Method
method:pbr_decomposition,Physically Based Rendering (PBR) Diffuse/Specular Decomposition in 3DGS,method,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Method
method:per_gaussian_embeddings,Per-Gaussian Learnable Embeddings for Deformation,method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:prism_downsampling,PRISM Color-Stratified Point Cloud Downsampling,method,,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,Entity;Method
method:radiative_gs,Radiative Gaussian Splatting (R2-Gaussian),method,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Method
method:sds,Score Distillation Sampling (SDS) for 3D Generation,method,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Method
method:super_resolution_gs,Super-Resolution Integration into Gaussian Splatting Optimization,method,,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,Entity;Method
method:triangle_splatting,Triangle/Mesh Splatting for Continuous Surface Representation,method,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Method
method:triplane_encoding,Tri-plane Encoding for Gaussian Deformation,method,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Method
method:vggt,VGGT: Visual Geometry Grounded Transformer,method,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Method
method_CLIP,CLIP,concept,,"0053_[SLAM]_STAMICS Splat, Track And Map with Integrated Consistency and Semantics for Dense RGB-.md",Entity;Concept
method_IMU,IMU Integration,concept,,0050_[SLAM]_GI-SLAM Gaussian-Inertial SLAM.md,Entity;Concept
method_NeRF,Neural Radiance Fields,concept,,"0071_[Robotics]_ObjectFolder A Dataset of Objects with Implicit Visual, Auditory, and Tactile Re.md",Entity;Concept
method_ORBSLAM3,ORB-SLAM3,concept,,"0058_[SLAM]_FGO-SLAM Online Co-Design Optimization of Sensing, Computing, and Control for Gaussi.md",Entity;Concept
method_SAM,Segment Anything Model,concept,,"0053_[SLAM]_STAMICS Splat, Track And Map with Integrated Consistency and Semantics for Dense RGB-.md",Entity;Concept
method_SDF,Signed Distance Fields,concept,,0069_[Robotics]_NeuralGrasps Learning Implicit Representations for Grasping of Unknown Objects.md,Entity;Concept
metric:ChamferDistance,Chamfer Distance (3D Geometry Reconstruction Error),metric,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Metric
metric:FID,FID (Frechet Inception Distance),metric,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Metric
metric:FVMD,FVMD (Frechet Video Motion Distance),metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric:LMD,LMD (Landmark Distance) for Talking Head,metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric:LPIPS,LPIPS (Learned Perceptual Image Patch Similarity),metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric:MAE,"MAE (Mean Absolute Error, e.g. surface normal)",metric,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Metric
metric:PSNR,PSNR (Peak Signal-to-Noise Ratio),metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric:PenetrationDistance,Penetration Distance (PD) for Collision Evaluation in Tooth Generation,metric,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Metric
metric:SSIM,SSIM (Structural Similarity Index),metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric:SyncC,Sync-C (Audio-Visual Sync Confidence Score),metric,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Metric
metric_PoseError_c2,Rotation/Translation Pose Error,concept,,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,Entity;Concept
metric_chamfer,Chamfer,concept,,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md,Entity;Concept
metric_recall,Recall,concept,,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md,Entity;Concept
paper:0193,EmbedTalk: Triplane-Free Talking Head Synthesis using Embedded Deformations,paper,,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,Entity;Paper
paper:0197,Active View Selection with Perturbed Gaussian Ensemble for Tomographic Reconstruction,paper,,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,Entity;Paper
paper:0200,Transforming Omnidirectional RGB-LiDAR Data into 3D Gaussian Splatting,paper,,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,Entity;Paper
paper:0201,FTSplat: Feed-forward Triangle Splatting Network,paper,,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,Entity;Paper
paper:0204,SSR-GS: Separating Specular Reflection in Gaussian Splatting,paper,,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,Entity;Paper
paper:0205,GaussTwin: Unified Simulation and Correction with Gaussian Splatting for Robotic Digital Twins,paper,,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,Entity;Paper
paper:0207,DSA-SRGS: Super-Resolution Gaussian Splatting for Dynamic Sparse-View DSA Reconstruction,paper,,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,Entity;Paper
paper:0209,DM-CFO: A Diffusion Model for Compositional 3D Tooth Generation,paper,,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,Entity;Paper
paper:0213,Multimodal-Prior-Guided Importance Sampling for Hierarchical 3D Gaussian Splatting,paper,,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,Entity;Paper
paper_0001_slam_gs_slam_dense_visual_slam_with_3d_gaussian_splatting,GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting,document,SLAM,0001_[SLAM]_GS-SLAM Dense Visual SLAM with 3D Gaussian Splatting.md,Entity;Document;SLAM
paper_0002_slam_photo_slam_real_time_simultaneous_localization_and_photorealistic_mappi,Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi,document,SLAM,0002_[SLAM]_Photo-SLAM Real-time Simultaneous Localization and Photorealistic Mappi.md,Entity;Document;SLAM
paper_0003_slam_splatam_splat_track_map_3d_gaussians_for_dense_rgb_d_slam,"SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM",document,SLAM,"0003_[SLAM]_SplaTAM Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM.md",Entity;Document;SLAM
paper_0004_slam_gaussian_slam_photo_realistic_dense_slam_with_gaussian_splatting,Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting,document,SLAM,0004_[SLAM]_Gaussian-SLAM Photo-realistic Dense SLAM with Gaussian Splatting.md,Entity;Document;SLAM
paper_0005_slam_sgs_slam_semantic_gaussian_splatting_for_neural_dense_slam,SGS-SLAM Semantic Gaussian Splatting For Neural Dense SLAM,document,SLAM,0005_[SLAM]_SGS-SLAM Semantic Gaussian Splatting For Neural Dense SLAM.md,Entity;Document;SLAM
paper_0006_slam_neds_slam_a_novel_neural_explicit_dense_semantic_slam_framework_using,NEDS-SLAM A Novel Neural Explicit Dense Semantic SLAM Framework using,document,SLAM,0006_[SLAM]_NEDS-SLAM A Novel Neural Explicit Dense Semantic SLAM Framework using.md,Entity;Document;SLAM
paper_0007_slam_endogslam_real_time_dense_reconstruction_and_tracking_in_endoscopic_su,EndoGSLAM Real-Time Dense Reconstruction and Tracking in Endoscopic Su,document,SLAM,0007_[SLAM]_EndoGSLAM Real-Time Dense Reconstruction and Tracking in Endoscopic Su.md,Entity;Document;SLAM
paper_0008_slam_cg_slam_efficient_dense_rgb_d_slam_in_a_consistent_uncertainty_aware,CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware,document,SLAM,0008_[SLAM]_CG-SLAM Efficient Dense RGB-D SLAM in a Consistent Uncertainty-aware.md,Entity;Document;SLAM
paper_0009_slam_rtg_slam_real_time_3d_reconstruction_at_scale_using_gaussian_splattin,RTG-SLAM Real-time 3D Reconstruction at Scale using Gaussian Splattin,document,SLAM,0009_[SLAM]_RTG-SLAM Real-time 3D Reconstruction at Scale using Gaussian Splattin.md,Entity;Document;SLAM
paper_0010_slam_splat_slam_globally_optimized_rgb_only_slam_with_3d_gaussians,Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians,document,SLAM,0010_[SLAM]_Splat-SLAM Globally Optimized RGB-only SLAM with 3D Gaussians.md,Entity;Document;SLAM
paper_0011_slam_mg_slam_structure_gaussian_slam_with_manhattan_world_hypothesis,MG-SLAM Structure Gaussian SLAM with Manhattan World Hypothesis,document,SLAM,0011_[SLAM]_MG-SLAM Structure Gaussian SLAM with Manhattan World Hypothesis.md,Entity;Document;SLAM
paper_0012_slam_tambridge_bridging_frame_centered_tracking_and_3d_gaussian_splatting_f,TAMBRIDGE Bridging Frame-Centered Tracking and 3D Gaussian Splatting f,document,SLAM,0012_[SLAM]_TAMBRIDGE Bridging Frame-Centered Tracking and 3D Gaussian Splatting f.md,Entity;Document;SLAM
paper_0013_slam_ig_slam_instant_gaussian_slam,IG-SLAM Instant Gaussian SLAM,document,SLAM,0013_[SLAM]_IG-SLAM Instant Gaussian SLAM.md,Entity;Document;SLAM
paper_0014_slam_loopsplat_loop_closure_by_registering_3d_gaussian_splats,"LoopSplat Loop Closure by Registering 3D Gaussian Splats,",document,SLAM,"0014_[SLAM]_LoopSplat Loop Closure by Registering 3D Gaussian Splats,.md",Entity;Document;SLAM
paper_0015_slam_og_mapping_octree_based_structured_3d_gaussians_for_online_dense_mappin,OG-Mapping Octree-based Structured 3D Gaussians for Online Dense Mappin,document,SLAM,0015_[SLAM]_OG-Mapping Octree-based Structured 3D Gaussians for Online Dense Mappin.md,Entity;Document;SLAM
paper_0016_slam_udgs_slam_unidepth_assisted_gaussian_splatting_for_monocular_slam,UDGS-SLAM UniDepth Assisted Gaussian Splatting for Monocular SLAM,document,SLAM,0016_[SLAM]_UDGS-SLAM UniDepth Assisted Gaussian Splatting for Monocular SLAM.md,Entity;Document;SLAM
paper_0017_slam_gevo_memory_efficient_monocular_visual_odometry_using_gaussians,GEVO Memory-Efficient Monocular Visual Odometry Using Gaussians,document,SLAM,0017_[SLAM]_GEVO Memory-Efficient Monocular Visual Odometry Using Gaussians.md,Entity;Document;SLAM
paper_0018_slam_glc_slam_gaussian_splatting_slam_with_efficient_loop_closure,GLC-SLAM Gaussian Splatting SLAM with Efficient Loop Closure,document,SLAM,0018_[SLAM]_GLC-SLAM Gaussian Splatting SLAM with Efficient Loop Closure.md,Entity;Document;SLAM
paper_0019_slam_hier_slam_scaling_up_semantics_in_slam_with_a_hierarchically_categoric,Hier-SLAM Scaling-up Semantics in SLAM with a Hierarchically Categoric,document,SLAM,0019_[SLAM]_Hier-SLAM Scaling-up Semantics in SLAM with a Hierarchically Categoric.md,Entity;Document;SLAM
paper_0020_slam_mgso_monocular_real_time_photometric_slam_with_efficient_3d_gauss,MGSO Monocular Real-time Photometric SLAM with Efficient 3D Gauss,document,SLAM,0020_[SLAM]_MGSO Monocular Real-time Photometric SLAM with Efficient 3D Gauss.md,Entity;Document;SLAM
paper_0021_slam_go_slam_grounded_object_segmentation_and_localization_with_gaussian,Go-SLAM Grounded Object Segmentation and Localization with Gaussian,document,SLAM,0021_[SLAM]_Go-SLAM Grounded Object Segmentation and Localization with Gaussian.md,Entity;Document;SLAM
paper_0022_slam_cartgs_computational_alignment_for_real_time_gaussian_splatting_sla,CaRtGS Computational Alignment for Real-Time Gaussian Splatting SLA,document,SLAM,0022_[SLAM]_CaRtGS Computational Alignment for Real-Time Gaussian Splatting SLA.md,Entity;Document;SLAM
paper_0025_slam_gsorb_slam_gaussian_splatting_slam_benefits_from_orb_features_and_trans,GSORB-SLAM Gaussian Splatting SLAM benefits from ORB features and Trans,document,SLAM,0025_[SLAM]_GSORB-SLAM Gaussian Splatting SLAM benefits from ORB features and Trans.md,Entity;Document;SLAM
paper_0026_slam_ag_slam_active_gaussian_splatting_slam,AG-SLAM Active Gaussian Splatting SLAM,document,SLAM,0026_[SLAM]_AG-SLAM Active Gaussian Splatting SLAM.md,Entity;Document;SLAM
paper_0027_slam_dgs_slam_gaussian_splatting_slam_in_dynamic_environment,DGS-SLAM Gaussian Splatting SLAM in Dynamic Environment,document,SLAM,0027_[SLAM]_DGS-SLAM Gaussian Splatting SLAM in Dynamic Environment.md,Entity;Document;SLAM
paper_0028_slam_ovo_slam_open_vocabulary_online_simultaneous_localization_and_mapping,OVO-SLAM Open-Vocabulary Online Simultaneous Localization and Mapping,document,SLAM,0028_[SLAM]_OVO-SLAM Open-Vocabulary Online Simultaneous Localization and Mapping.md,Entity;Document;SLAM
paper_0029_slam_gassidy_gaussian_splatting_slam_in_dynamic_environments,Gassidy Gaussian Splatting SLAM in Dynamic Environments,document,SLAM,0029_[SLAM]_Gassidy Gaussian Splatting SLAM in Dynamic Environments.md,Entity;Document;SLAM
paper_0030_slam_pg_slam_photo_realistic_and_geometry_aware_rgb_d_slam_in_dynamic_env,PG-SLAM Photo-realistic and Geometry-aware RGB-D SLAM in Dynamic Env,document,SLAM,0030_[SLAM]_PG-SLAM Photo-realistic and Geometry-aware RGB-D SLAM in Dynamic Env.md,Entity;Document;SLAM
paper_0031_slam_magic_slam_multi_agent_gaussian_globally_consistent_slam,MAGiC-SLAM Multi-Agent Gaussian Globally Consistent SLAM,document,SLAM,0031_[SLAM]_MAGiC-SLAM Multi-Agent Gaussian Globally Consistent SLAM.md,Entity;Document;SLAM
